"DateTime";"G2P";"P2G";"G2G";"G2B";"B2G";"P2B";"B2P";"P2P";"B2B"
"2023-09-30";551084;1487768;2724288;4240135;2095800;148904738;169945106;440151172;507061886
"2023-10-31";504331;1523675;2815665;2937055;2416535;159759114;180460792;457034516;572732452
"2023-11-30";509125;1496905;3801078;3638536;2333693;168279100;185396515;470730810;585903836
"2023-12-31";763809;2216253;6195929;4844431;2810671;188799580;212165413;547626441;634072989
"2024-01-31";427235;3529039;2536019;1867153;3700214;177434077;193109328;479011524;621592910
"2024-02-29";529416;2469560;3619932;2371065;2693714;172016658;190656959;472439459;576463964
"2024-03-31";588508;2516314;3233565;2684022;3319080;192511006;207710394;515217177;664048454
"2024-04-30";1088215;2854796;3630200;4472959;5739541;202523510;223876752;528208427;763870757
"2024-05-31";5115724;3695288;3554182;3451952;5639246;211177114;226236225;555876655;755977471
"2024-06-30";7991668;2685072;3981747;6351789;6500885;211435396;226888230;556168031;754346756
"2024-07-31";7092567;2885744;3765691;3626893;7622833;228767977;249094483;585184823;866709060
"2024-08-31";5740049;2833280;3492088;5057474;7206562;234857429;254058254;595088046;839849160
"2024-09-30";1458321;3008855;3401887;6302681;7214599;232004227;251483570;581530665;850653588
"2024-10-31";1317487;3276769;4087419;7350677;8776235;246871921;266150728;615694674;934893966
"2024-11-30";1067982;3071474;3587753;10916673;8060732;250543623;263616659;622969253;917726771
"2024-12-31";1136651;3982026;5434711;6634074;11554119;277995041;295723268;701925180;1024702968
"2025-01-31";1036011;6390287;3931150;3429220;12025614;244403609;254994832;575858291;974694807
"2025-02-28";1183743;5040113;4571828;5711239;9975092;241025961;256510979;585901180;934486990
"2025-03-31";1098106;4992793;4629691;5902822;9992306;261969276;274744180;624154857;984936468
"2025-04-30";1919201;5104073;4887858;4780150;11659216;270486220;290271496;638687432;1026258159
"2025-05-31";7914880;6973029;4895315;5970998;10816806;286528814;297050446;682395804;1076677199
"2025-06-30";9181246;4901654;4959664;13127680;11141339;281175003;293535458;663624053;1113784639
"2025-07-31";8966091;5070284;4423863;6996676;13557113;298951174;309458941;704233223;1210350051
"2025-08-31";3575569;4852975;4788414;6787188;12463227;303025044;312272087;707704243;1194771714
