"DateTime";"Quantidade";"Valor"
"2023-09-30";270706;83555,76
"2023-10-31";314160;85351,3
"2023-11-30";342318;102238,26
"2023-12-31";423364;139583
"2024-01-31";439321;148551,68
"2024-02-29";402698;133719,58
"2024-03-31";475369;159315,68
"2024-04-30";448121;148662,37
"2024-05-31";478747;166749,94
"2024-06-30";503564;198136,39
"2024-07-31";546039;229065,06
"2024-08-31";619103;278951,84
"2024-09-30";671615;343127,66
"2024-10-31";788487;400076,92
"2024-11-30";959632;436520,75
"2024-12-31";1061257;522399,92
"2025-01-31";1045406;486651,72
"2025-02-28";1139078;481493,42
"2025-03-31";2035391;589648,41
"2025-04-30";3048011;787177,11
"2025-05-31";3619822;927927,7
"2025-06-30";3978294;974543,88
"2025-07-31";4767358;1160043,88
"2025-08-31";5709551;1337949,93
