Trimestre,Taxa_Desocupacao,Rendimento_Medio_Real
jan-fev-mar 2023,8.8,3471
fev-mar-abr 2023,8.5,3234
mar-abr-mai 2023,8.3,3207
abr-mai-jun 2023,8.0,3206
mai-jun-jul 2023,7.9,3212
jun-jul-ago 2023,7.8,3239
jul-ago-set 2023,7.7,3271
ago-set-out 2023,7.6,3264
set-out-nov 2023,7.5,3275
out-nov-dez 2023,7.4,3373
nov-dez-jan 2024,7.6,3692
dez-jan-fev 2024,7.8,3726
jan-fev-mar 2024,7.9,3616
fev-mar-abr 2024,7.5,3378
mar-abr-mai 2024,7.1,3383
abr-mai-jun 2024,6.9,3398
mai-jun-jul 2024,6.8,3377
jun-jul-ago 2024,6.6,3405
jul-ago-set 2024,6.4,3405
ago-set-out 2024,6.2,3410
set-out-nov 2024,6.1,3416
out-nov-dez 2024,6.2,3533
nov-dez-jan 2025,6.5,3810
dez-jan-fev 2025,6.8,3849
jan-fev-mar 2025,7.0,3758
fev-mar-abr 2025,6.6,3489
mar-abr-mai 2025,6.2,3474
abr-mai-jun 2025,5.8,3497
