data;Valor Fora do SPI;Valor SPI;Total;G2P;P2G;G2G;G2B;B2G;P2B;B2P;P2P;B2B;perc_fora_spi;perc_spi;perc_G2P;perc_P2G;perc_G2G;perc_G2B;perc_B2G;perc_P2B;perc_B2P;perc_P2P;perc_B2B
2023-09-30;250699.95;1277205.13;1527905.08;551084;1487768;2724288;4240135;2095800;148904738;169945106;440151172;507061886;0.16408084067630693;0.835919159323693;0.00043149107938092023;0.0011649015761451846;0.002133079475478309;0.0033199665166668206;0.0016409821445850952;0.11659033128262321;0.13306464572269364;0.3446322235758198;0.39702237862660705
2023-10-31;272415.33;1380506.54;1652921.87;504331;1523675;2815665;2937055;2416535;159759114;180460792;457034516;572732452;0.1648083523754211;0.8351916476245789;0.0003654084894983958;0.0011039650155086009;0.0020400647483170787;0.002128016780891341;0.001750878697066026;0.11575202898561068;0.13075124356504794;0.33114024745690906;0.41496814626115086
2023-11-30;305307.53;1422089.6;1727397.13;509125;1496905;3801078;3638536;2333693;168279100;185396515;470730810;585903836;0.17674426146580435;0.8232557385341958;0.0003580119007381981;0.0010526094854397493;0.0026728822187756414;0.002558584216576205;0.0016410309190659027;0.11833227683871997;0.13036908170957595;0.33101346825265227;0.4120020544584561
2023-12-31;319708.39;1600127.61;1919836.0;763809;2216253;6195929;4844431;2810671;188799580;212165413;547626441;634072989;0.16652901081134014;0.8334709891886599;0.0004775311917785958;0.0013855950065695588;0.0038736770050438827;0.00302872433935601;0.0017572234319411495;0.11803695484695563;0.13264520649021938;0.3423744771535827;0.3964206105345531
2024-01-31;321175.42;1483207.5;1804382.92;427235;3529039;2536019;1867153;3700214;177434077;193109328;479011524;621592910;0.17799737319615064;0.8220026268038494;0.00028804803123504163;0.0023793292593108713;0.0017098207780838627;0.0012588616233796428;0.0024947379260789456;0.11962862722823922;0.13019710871890622;0.32295651439394457;0.41908695204082164
2024-02-29;280674.81;1423260.74;1703935.55;529416;2469560;3619932;2371065;2693714;172016658;190656959;472439459;576463964;0.16472149430769256;0.8352785056923074;0.0003719740100718735;0.0017351423763412816;0.0025434074947253147;0.0016659386119631193;0.001892635656207494;0.12086096014367155;0.13395785844655012;0.3319416112856742;0.4050304719747951
2024-03-31;329158.43;1591828.52;1920986.95;588508;2516314;3233565;2684022;3319080;192511006;207710394;515217177;664048454;0.17134860286271075;0.8286513971372893;0.00036970565146049776;0.0015807695165557154;0.0020313525982057416;0.0016861250858855074;0.002085073836973344;0.12093702530219776;0.1304854080639289;0.3236637430016645;0.417160796943128
2024-04-30;326314.04;1736300.65;2062614.68;1088215;2854796;3630200;4472959;5739541;202523510;223876752;528208427;763870757;0.15820407134889586;0.8417959334993194;0.000626756227649162;0.0016442166039504298;0.002090809681553726;0.0025761957970340124;0.003305682301381344;0.1166431919591876;0.12894156811095875;0.30422106028589735;0.43995051903238763
2024-05-31;332609.98;1770723.86;2103333.84;5115724;3695288;3554182;3451952;5639246;211177114;226236225;555876655;755977471;0.15813465921320413;0.841865340786796;0.0028890580424364835;0.0020868798855292092;0.0020071915708085477;0.0019494581192622403;0.0031847122732926504;0.11926033139790695;0.12776482572686093;0.31392622446606594;0.42693131851783706
2024-06-30;341965.39;1776382.13;2118347.52;7991668;2685072;3981747;6351789;6500885;211435396;226888230;556168031;754346756;0.1614302595638321;0.8385697404361678;0.00449892752922742;0.0015115673397290436;0.0022415334561844526;0.003575753946728506;0.0036596878762783433;0.11902803316122505;0.1277272409220056;0.31309604772647076;0.42466120804215085
