Nível,Cód.,"Brasil, Grande Região, Unidade da Federação e Município",2018,Unnamed: 4,2019,Unnamed: 6,2020,Unnamed: 8,2021,Unnamed: 10,2024,Unnamed: 12,2025,Unnamed: 14
BR,1.0,Brasil,208494900,Pessoas,210147125,Pessoas,211755692,Pessoas,213317639,Pessoas,212583750,Pessoas,213421037.0,Pessoas
GR,1.0,Norte,18182253,Pessoas,18430980,Pessoas,18672591,Pessoas,18906962,Pessoas,18669345,Pessoas,18801282.0,Pessoas
GR,2.0,Nordeste,56760780,Pessoas,57071654,Pessoas,57374243,Pessoas,57667842,Pessoas,57112096,Pessoas,57244485.0,Pessoas
GR,3.0,Sudeste,87711946,Pessoas,88371433,Pessoas,89012240,Pessoas,89632912,Pessoas,88617693,Pessoas,88825643.0,Pessoas
GR,4.0,Sul,29754036,Pessoas,29975984,Pessoas,30192315,Pessoas,30402587,Pessoas,31113021,Pessoas,31310809.0,Pessoas
GR,5.0,Centro-Oeste,16085885,Pessoas,16297074,Pessoas,16504303,Pessoas,16707336,Pessoas,17071595,Pessoas,17238818.0,Pessoas
UF,11.0,Rondônia,1757589,Pessoas,1777225,Pessoas,1796460,Pessoas,1815278,Pessoas,1746227,Pessoas,1751950.0,Pessoas
UF,12.0,Acre,869265,Pessoas,881935,Pessoas,894470,Pessoas,906876,Pessoas,880631,Pessoas,884372.0,Pessoas
UF,13.0,Amazonas,4080611,Pessoas,4144597,Pessoas,4207714,Pessoas,4269995,Pessoas,4281209,Pessoas,4321616.0,Pessoas
UF,14.0,Roraima,576568,Pessoas,605761,Pessoas,631181,Pessoas,652713,Pessoas,716793,Pessoas,738772.0,Pessoas
UF,15.0,Pará,8513497,Pessoas,8602865,Pessoas,8690745,Pessoas,8777124,Pessoas,8664306,Pessoas,8711196.0,Pessoas
UF,16.0,Amapá,829494,Pessoas,845731,Pessoas,861773,Pessoas,877613,Pessoas,802837,Pessoas,806517.0,Pessoas
UF,17.0,Tocantins,1555229,Pessoas,1572866,Pessoas,1590248,Pessoas,1607363,Pessoas,1577342,Pessoas,1586859.0,Pessoas
UF,21.0,Maranhão,7035055,Pessoas,7075181,Pessoas,7114598,Pessoas,7153262,Pessoas,7010960,Pessoas,7018211.0,Pessoas
UF,22.0,Piauí,3264531,Pessoas,3273227,Pessoas,3281480,Pessoas,3289290,Pessoas,3375646,Pessoas,3384547.0,Pessoas
UF,23.0,Ceará,9075649,Pessoas,9132078,Pessoas,9187103,Pessoas,9240580,Pessoas,9233656,Pessoas,9268836.0,Pessoas
UF,24.0,Rio Grande do Norte,3479010,Pessoas,3506853,Pessoas,3534165,Pessoas,3560903,Pessoas,3446071,Pessoas,3455236.0,Pessoas
