Nível,Cód.,"Brasil, Grande Região, Unidade da Federação e Município",2018,Unnamed: 4,2019,Unnamed: 6,2020,Unnamed: 8,2021,Unnamed: 10,2022,Unnamed: 12,2023,Unnamed: 14,2024,Unnamed: 16
BR,1.0,Brasil,59350.0,Mil unidades,60545.0,Mil unidades,66393.0,Mil unidades,66093.0,Mil unidades,62233.0,Mil unidades,62951.0,Mil unidades,64296.0,Mil unidades
GR,1.0,Norte,3802.0,Mil unidades,3898.0,Mil unidades,4737.0,Mil unidades,4659.0,Mil unidades,4029.0,Mil unidades,4063.0,Mil unidades,4137.0,Mil unidades
GR,2.0,Nordeste,12718.0,Mil unidades,13147.0,Mil unidades,15960.0,Mil unidades,15400.0,Mil unidades,12873.0,Mil unidades,13180.0,Mil unidades,13621.0,Mil unidades
GR,3.0,Sudeste,28006.0,Mil unidades,28440.0,Mil unidades,29958.0,Mil unidades,30079.0,Mil unidades,29650.0,Mil unidades,29793.0,Mil unidades,30457.0,Mil unidades
GR,4.0,Sul,9928.0,Mil unidades,10120.0,Mil unidades,10480.0,Mil unidades,10589.0,Mil unidades,10484.0,Mil unidades,10550.0,Mil unidades,10673.0,Mil unidades
GR,5.0,Centro-Oeste,4896.0,Mil unidades,4940.0,Mil unidades,5258.0,Mil unidades,5367.0,Mil unidades,5197.0,Mil unidades,5365.0,Mil unidades,5409.0,Mil unidades
UF,11.0,Rondônia,501.0,Mil unidades,519.0,Mil unidades,562.0,Mil unidades,567.0,Mil unidades,577.0,Mil unidades,600.0,Mil unidades,591.0,Mil unidades
UF,12.0,Acre,189.0,Mil unidades,191.0,Mil unidades,224.0,Mil unidades,221.0,Mil unidades,196.0,Mil unidades,188.0,Mil unidades,197.0,Mil unidades
UF,13.0,Amazonas,778.0,Mil unidades,776.0,Mil unidades,955.0,Mil unidades,930.0,Mil unidades,761.0,Mil unidades,791.0,Mil unidades,834.0,Mil unidades
UF,14.0,Roraima,122.0,Mil unidades,120.0,Mil unidades,142.0,Mil unidades,153.0,Mil unidades,152.0,Mil unidades,139.0,Mil unidades,143.0,Mil unidades
UF,15.0,Pará,1648.0,Mil unidades,1737.0,Mil unidades,2218.0,Mil unidades,2094.0,Mil unidades,1729.0,Mil unidades,1730.0,Mil unidades,1751.0,Mil unidades
UF,16.0,Amapá,153.0,Mil unidades,148.0,Mil unidades,192.0,Mil unidades,228.0,Mil unidades,181.0,Mil unidades,186.0,Mil unidades,180.0,Mil unidades
UF,17.0,Tocantins,412.0,Mil unidades,406.0,Mil unidades,445.0,Mil unidades,465.0,Mil unidades,434.0,Mil unidades,428.0,Mil unidades,440.0,Mil unidades
